name,phone,latitude,longitude
Rasputin,,52.6474842,0.6875988
Phoenix Inn,,53.3351517,-1.398951
McDonald's Restaurants,,51.5127682,-0.1873876
The Food Pantry,,51.5659773,0.0720447
Piccolinos,,52.2828472,-1.5834256
Hunters Lodge Inn,,50.7622413,-2.9683702
Aroma Lounge,,51.5793536,-0.3996719
San Marco,,51.5942013,-0.0701469
Pizza Top And Kebab House,,51.5324905,0.7247818
Bread Source,,52.6375855,1.2827776
The Wheatlands Farm,,54.5949812,-1.0503199
Wagamama,,51.2722703,0.1928955
Rominos Pizza Kebab and Fish,,52.6694104,1.2550682
Arabica Coffee House,,51.3887127,0.0732492
PiPs Cafe,,50.7145342,-2.4584497
Bath Youth Hostel,,51.379819,-2.340456
Mr Pretzels,,53.4138509,-1.411985
Halo Burger LTD,,51.5260806,-0.0845581
Taco Bell,,52.6357739,-1.1324615
Favorite Chicken,,51.4191961,-0.1616902
Wenzels,,51.6835658,-0.3169135
Millies Cookies,,51.4952915,-0.1436178
McDonalds,,53.7943156,-1.7545489
Dough Dough,,53.1929189,-2.8925812
Costa Coffee,,51.6691601,-1.280355
The Drawbridge,,51.453248,-2.598153
The Bowl Inn,,51.5545971,-2.5725327
Asha Indian Restaurant Ltd,,53.3673409,-0.0003795
Crepe Affaire Luton,,51.8800411,-0.3754235
Domino's Pizza,,53.473459,-2.1775851
Scholars Arms,,50.9085637,-1.404471
Ezo Japanese,,51.508443,-0.2667316
Casa Tua,,51.527661,-0.123566
Black Sheep Coffee,,51.5030932,-0.0185881
Yakinori Noodle & Bento,,52.4782645,-1.8992298
Pizza Hut,,51.8186544,-0.8136197
O'Neills,,51.4090933,-0.305501
David Lloyd Leisure,,51.422602,0.11576
Marine Hotel,,54.6607262,-1.1876626
Toby Carvery,,54.8956727,-2.8971525
KFC,,51.6173528,-0.0185009
The Barn Owl,,51.820813,-2.268754
Costa,,51.6477276,-0.0478922
Lotus Restaurant,,53.4980353,-1.1817238
The Black Boy Inn,,52.3734911,-2.322899
Subway,,51.7473624,-0.4559597
Costa (Bearwood),,52.4746673,-1.9691317
Burger King,,51.7627771,-0.2386092
Domino's Pizza,+44 1206 868989,51.8792223,0.932148
Fireball Pizza Co,+44 20 8466 8137,51.3931023,0.0344389
Prezzo,+44 1536 485415,52.39708,-0.7274053
Mister M's Traditional Fish & Chips,+44 24 7650 2026,52.3905181,-1.5049614
Greggs Plc,+44 1727 866026,51.7529929,-0.3374874
Harry Ramsdens,,53.6315292,-2.6912613
Patisserie Mark Bennett,+44 1202 007695,50.7354716,-1.7784394
Tops Pizza,+44 1227 781000,51.2862173,1.0904302
Auntie Annes,+44 1242 224800,51.8995934,-2.0747392
Boston Tea Party,+44 1225 308133,51.3858643,-2.3620778
Shishlique,+44 20 7126 7070,51.4861017,-0.0946227
Chopsticks,,,
Bexleyheath Brewers Fayre,,,
Nando's,,,
BOCA,,,
Mr Pretzel,,,
Subway,,,
Ludo Lounge Cafe/Bar,,,
Chinatown Express,,,
CHINA RED RESTAURANT,,,
Caffe Nero,+44 20 8742 0297,51.4928084,-0.2558697
Subway,+44 20 8661 9231,51.3651937,-0.1940767
McDonald's,+44 1482 300452,53.7278663,-0.3718407
Le Pain Quotidien,+44 20 3657 6932,51.514556,-0.1669238
