name,phone,latitude,longitude
900 Degrees,,53.4926339,-2.1075762
A M F Bowling,,52.2901448,-0.6857055
AMT Coffee,,51.4188749,-0.1353899
And Eat It,,52.6292682,1.3015677
Arabica Coffee,,51.3887917,0.0733092
Aroma Lounge Inn,,51.5793806,-0.3995769
Asha Indian Restaurant Ltd,,53.3673989,-0.0003085
Auntie Annes,,,
Bath Youth,,51.37988,-2.340387
Bexleyheath Brewers Fayre,,,
Black Sail Youth Hostel,,54.5010379,-3.2413597
Black Sheep Coffee,,51.5031512,-0.0185521
Black Sheep Coffee,,51.5150167,-0.0859954
BOCA,,,
Bold Arms,+44 1704 228192,53.6756592,-2.9627978
Boston Tea Party,,,
Bowl Inn,,51.5546871,-2.5725017
Bread Source,,52.6376535,1.2828736
Bronkos Restaurant,,52.6296212,-1.148117
Bunga Bunga,+44 20 7095 0360,51.490104,-0.154207
Burger King,,51.7628011,-0.2385502
Burger king,,51.4754918,-0.0671632
Byron,,50.902581,-1.406649
Caffe Cream,,53.3980699,-3.0346356
Caffe Nero,+44 20 8742 0297,51.4929384,-0.2554297
Caravelli Restaurant,,52.774968,-1.20265
Casa Tua,,51.527675,-0.123565
CHINA RED RESTAURANT,,,
Chinatown Express,,,
Chopsticks,,,
Clock Tower,,53.2773298,-2.4931969
Coco Di Mama,,51.5216839,-0.1169645
Coffee,,51.9440853,1.260681
Connoisseur Tandoori Restaurant,,51.8674835,-2.238302
Coopland & Son (Scarborough) Ltd,,53.1066104,-0.1736027
Cooplands,,54.6368252,-1.5686558
Costa,,51.6691831,-1.280347
Costa,,51.6477506,-0.0478612
Costa,,52.4747383,-1.9690877
Costa,,52.2427814,-0.8390289
Costa Coffee,,51.6393034,-0.4711899
Costa Coffee,,51.1439839,0.8756832
Costa Coffee,,53.3929999,-1.3766786
Costa Coffee,,50.8310227,-4.5427381
Costa Coffee,,53.7241422,-1.6670143
Costa Coffee,+44 1245 468817,51.7686827,0.5128367
Costa Coffee,+44 1206 574481,51.8958241,0.8481488
"Costa Coffee At Moto Services Reading, Westbound",,51.4238335,-1.0363798
Cosy,,51.0156617,-3.1000073
Crepe Affaire Luton,,51.8801241,-0.3754095
Curry Leaf Cafe,,50.83638,-0.1095915
David Lloyd Leisure,,51.422686,0.115771
Domino's,,51.6154668,-0.27882
Domino's Pizza,,53.473509,-2.1775351
Domino's Pizza,1206 868989,51.8793203,0.932175
Domino's Pizza,+44 1323 500222,50.8245222,0.2554247
Dough Dough,,53.1929209,-2.8925072
Drawbridge,,51.453281,-2.598114
Drip,+44 161 302 4006,53.6013389,-2.2840893
Eden,,50.7965338,-1.0913414
Egg Free Cake Box,,53.716167,-1.8778946
Ego @ The Pomeroy,,51.6865326,-0.5781609
El Mexicana,,51.5919355,-0.6263402
Euphorium,,51.5403969,-0.1007622
Ezo Japanese,,51.508461,-0.2666966
Favorite Chicken,,51.4192811,-0.1616592
Favorite Chicken And Ribs And Pizza Mania,,51.8055608,0.6408891
Fireball Pizza Co,20 8466 8137,51.3931823,0.0345069
Franco Manca at The Oracle,,51.4540425,-0.9693639
Frankie & Benny's,,51.4952524,-0.1404095
Frankie & Benny's,+44 1782 645180,52.965228,-2.194051
Giggling Squid,+44 116 251 9999,52.6350552,-1.1344154
Greggs,,51.126854,1.3200707
Greggs,,53.7621071,-0.3362956
Greggs,+44 161 877 0756,53.4826313,-2.2957724
Greggs Bakers,,51.4484987,-0.0188385
Greggs Drive Thru,,55.0585504,-1.5936591
Greggs Of Gosforth,,55.0436578,-1.4407017
Greggs Plc,1727 866026,51.7529929,-0.3374864
Greyfriars,,51.890642,0.9073585
Halo Burger,,51.5261346,-0.0845551
Harriets Cafe Tearooms,,52.2072341,0.1235569
Harry Ramsdens,,53.6315292,-2.6912513
Haveli,,55.0028277,-1.6017748
Hunters Lodge,,50.7622763,-2.9683572
